country,migrants_1990,migrants_1995,migrants_2000,migrants_2005,migrants_2010,migrants_2015,continent
Afghanistan,57686,71522,75917,87300,102246,489749,Asia
Albania,66013,71354,76695,64739,52784,52031,Europe
Algeria,273954,262032,250110,197422,216964,239473,Africa
American Samoa,21283,23098,24912,24233,23555,23513,Oceania
Andorra,38891,44206,42147,50298,52053,42264,Europe
Angola,33517,39813,46108,61329,332126,632178,Africa
Antigua and Barbuda,12029,17550,23071,24741,26412,28083,Americas
Argentina,1649919,1595069,1540219,1673088,1805957,2086302,Americas
Armenia,658789,693999,657900,469119,211147,191199,Asia
Aruba,14444,22274,30104,32540,34327,36114,Americas
Australia,3955213,4153330,4386250,4878030,5882980,6729730,Oceania
Austria,793239,894893,996547,1136270,1275992,1492374,Europe
Azerbaijan,360600,344070,327540,302220,276901,264241,Asia
Bahrain,173212,205979,239361,404018,657856,704137,Asia
Bangladesh,881617,934735,987853,1166700,1345546,1422805,Asia
Barbados,24024,26224,28424,30624,32825,34475,Americas
Belarus,1248977,1186282,1123586,1106982,1090378,1082905,Europe
Belgium,1280583,1288003,1268368,1248733,1503806,1783488,Europe
Belize,30404,33446,36488,41424,46360,54674,Americas
Benin,76751,105703,134655,221889,309124,366284,Africa
Bermuda,15683,16676,17668,18276,18884,19126,Americas
Bhutan,23807,27972,32137,40279,48420,51106,Asia
Bolivia,73758,83598,92658,107745,122846,142989,Americas
Bosnia and Herzegovina,56000,69476,82952,47272,38792,38574,Europe
Botswana,27510,40168,74934,84614,94614,103268,Africa
Brazil,798517,741557,684596,638582,592568,716568,Americas
Brunei Darussalam,73200,84748,96296,98441,100587,102733,Asia
Bulgaria,21510,32435,43360,61074,76287,123803,Europe
Burkina Faso,349652,464104,520363,597658,674438,704676,Africa
Burundi,333110,254853,125628,172874,235259,289810,Africa
Cabo Verde,8931,9979,11027,12700,14373,14924,Africa
Cambodia,38375,92230,146085,114031,81977,73963,Asia
Cameroon,265967,244791,227242,265503,291474,508346,Africa
Canada,4333318,4864778,5511914,6078985,6761226,7428657,Americas
Cayman Islands,9315,12666,19176,20679,24057,26177,Americas
Central African Republic,67234,99712,123529,94449,93466,81598,Africa
Chad,74342,89584,104825,352062,416924,466968,Africa
Channel Islands,61660,60519,64301,70941,77581,82307,NA
Chile,107501,142417,177332,276360,375388,639724,Americas
China,376361,442198,508034,678947,849861,978046,Asia
Hong Kong SAR,2218473,2443798,2669122,2721235,2779950,2838665,Asia
Macao SAR,205047,224929,240791,279308,318506,376066,Asia
Colombia,104277,106943,109609,107612,124271,139134,Americas
Comoros,14079,13939,13799,13209,12618,12555,Africa
Congo,129391,191635,305880,318724,425173,390142,Africa
Congo,129391,191635,305880,318724,425173,390142,Africa
Costa Rica,417628,364287,310946,358175,405404,411697,Americas
Cote d'Ivoire,1816426,2076394,2163644,2265090,2366537,2467984,Africa
Croatia,475438,674085,585298,579273,573248,561093,Europe
Cuba,34555,26187,17818,11935,6640,5312,Americas
Cyprus,43805,61941,80076,117165,191866,192020,Asia
Dem. People's Republic of Korea,34103,35143,36183,40097,44010,48458,Asia
Democratic Republic of the Congo,754194,1816963,744387,622869,588950,824492,Africa
Denmark,235189,303108,371026,440383,500772,595876,Europe
Djibouti,122221,99774,100507,92091,101575,112351,Africa
Dominica,2519,3121,3723,4744,8110,8093,Americas
Dominican Republic,291151,323381,355611,376001,393720,549289,Americas
Ecuador,78663,115093,151523,187404,325366,387513,Americas
Egypt,173833,166955,184774,285006,310017,353641,Africa
El Salvador,47360,39537,31713,36019,40324,42045,Americas
Equatorial Guinea,2740,3629,4517,6588,8658,209611,Africa
Eritrea,11848,12400,12952,14314,15676,15941,Africa
Estonia,381997,315755,249512,233701,217890,194664,Europe
Ethiopia,1155390,806904,611384,514242,568748,1161642,Africa
Fiji,13283,13001,12719,12435,13351,13751,Oceania
Finland,63255,99729,136203,192169,228481,314856,Europe
France,5897267,6087993,6278718,6737600,7309986,7874172,Europe
French Polynesia,25830,28360,30329,32286,31640,30058,Oceania
Gabon,128188,171427,214431,233824,270829,378686,Africa
Georgia,304470,152235,76117,72311,73034,76685,Asia
Germany,5936181,7464406,8992631,9402447,9812263,10220418,Europe
Ghana,164851,252879,191601,304436,337017,414744,Africa
